City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,laojunmiao,39.8333,97.7333,14.87,13,20,0.87,CN,1682993945
84,lebu,-37.6167,-73.65,9.96,80,1,4.31,CL,1682993946
85,puerto natales,-51.7236,-72.4875,5.03,84,92,6.05,CL,1682993947
86,kem',64.9555,34.5793,-2.86,96,51,3.86,RU,1682993948
87,winnemucca,40.973,-117.7357,12.03,50,20,9.26,US,1682993949
88,fort mcmurray,56.7268,-111.381,26.77,22,0,4.12,CA,1682993951
89,kodiak,57.79,-152.4072,5.73,75,75,3.09,US,1682993953
90,nouadhibou,20.931,-17.0347,19.99,83,1,7.2,MR,1682993954
91,jatiroto,-7.8833,111.1167,27.45,77,13,0.78,ID,1682993955
92,barranca,-10.75,-77.7667,22.95,82,99,4.2,PE,1682993956
93,puerto carreno,6.189,-67.4859,29.09,62,58,2.09,CO,1682993957
94,talakan,50.3167,130.3667,17.65,28,100,6.49,RU,1682993958
95,flying fish cove,-10.4217,105.6791,27.62,77,37,6.81,CX,1682993960
96,minas de marcona,-15.2119,-75.1103,15.22,83,22,5.87,PE,1682993961
97,hede,33.7681,120.2517,22.74,30,67,9.99,CN,1682993962
98,morant bay,17.8815,-76.4093,25.95,85,99,3.85,JM,1682993963
99,tromso,69.6496,18.957,2.01,87,75,0.45,NO,1682993964
100,college,64.8569,-147.8028,13.18,39,75,3.6,US,1682993965
101,hawaiian paradise park,19.5933,-154.9731,26.13,73,75,6.17,US,1682993966
102,basco,20.4487,121.9702,26.44,85,23,6.88,PH,1682993968
103,puerto ayacucho,5.6639,-67.6236,27.4,71,56,2.29,VE,1682993969
104,bellaria-igea marina,44.1421,12.47,15.55,94,75,13.86,IT,1682993970
105,fukuecho,32.6881,128.8419,21.2,56,0,3.09,JP,1682993971
106,labrador city,52.9463,-66.9114,5.95,45,75,4.12,CA,1682993972
107,codrington,-38.2667,141.9667,15.03,75,80,6.95,AU,1682993973
108,vondrozo,-22.8167,47.2833,16.41,93,87,1.04,MG,1682993974
109,acarau,-2.8856,-40.12,25.26,86,98,3.73,BR,1682993744
110,geraldton,-28.7667,114.6,26.23,22,0,8.75,AU,1682993977
111,simanggang,1.2472,111.4528,28.99,79,20,1.54,MY,1682993978
112,wukari,7.85,9.7833,25.5,70,87,2.25,NG,1682993979
113,utrik,11.2278,169.8474,27.29,80,53,10.22,MH,1682993980
114,sarandi grande,-33.7333,-56.3333,10.14,65,78,2.87,UY,1682993981
115,steinbach,50.1667,8.5667,12.33,73,0,5.66,DE,1682993982
116,al majaridah,19.1236,41.9111,26.99,60,1,0.91,SA,1682993983
117,halifax,44.6453,-63.5724,6.94,96,100,9.39,CA,1682993765
118,cabo san lucas,22.8909,-109.9124,28.61,68,40,5.66,MX,1682993946
119,jamestown,42.097,-79.2353,3.64,92,100,4.12,US,1682993784
120,francistown,-21.17,27.5079,15.44,78,0,1.87,BW,1682993988
121,santana,-0.0583,-51.1817,26.1,94,0,1.03,BR,1682993989
122,palmwoods,-26.6833,152.9667,23.13,47,78,2.18,AU,1682993990
123,kapuskasing,49.4169,-82.4331,2.05,100,100,7.72,CA,1682993991
124,tucurui,-3.7661,-49.6725,22.57,97,100,1.24,BR,1682993992
125,ushuaia,-54.8,-68.3,2.81,87,75,7.72,AR,1682993993
126,atafu village,-8.5421,-172.5159,28.84,76,9,6.22,TK,1682993994
127,plastun,44.7561,136.2939,17.04,45,0,1.74,RU,1682993996
128,beyneu,45.3167,55.2,20.07,29,100,8.26,KZ,1682993998
129,nova sintra,14.8667,-24.7167,20.94,80,1,6.49,CV,1682993999
